transaction_id,customer_name,product_name,category,price,quantity,payment_method,transaction_date,shipping_city,rating
TR00406,Warta Widodo,Iusto Max,Rumah Tangga,25000.0,1,E-Wallet,2026-09-02,Magelang,3.0
TR00299,dr. Fitriani Manullang,Praesentium Pro,Buku,1200000.0,3,Kartu Kredit,2026-09-16,Payakumbuh,2.0
TR00078,Sutan Vero Maheswara,Odit Basic,Elektronik,150000.0,5,Kartu Kredit,2026-07-01,Surakarta,1.0
TR00469,"Kiandra Tampubolon, S.Farm",Ipsam Max,Rumah Tangga,25000.0,2,E-Wallet,2026-08-29,Kota Administrasi Jakarta Utara,
TR00318,Tgk. Kenes Thamrin,Veritatis Basic,Kesehatan,25000.0,3,Kartu Kredit,2026-08-27,Singkawang,
TR00476,Gasti Gunarto,Assumenda Max,Olahraga,5000000.0,5,COD,2026-09-12,Pekalongan,2.0
TR00091,Asirwanda Rajata,Modi Basic,Olahraga,15000.0,5,Transfer Bank,2026-07-18,Madiun,
TR00239,Cahyo Mangunsong,Autem Lite,Kesehatan,50000.0,4,Kartu Kredit,2026-07-15,Pekalongan,2.0
TR00486,Amelia Mandasari,Reiciendis Pro,Olahraga,1200000.0,5,Kartu Kredit,2026-07-04,Kota Administrasi Jakarta Pusat,
TR00064,Lembah Fujiati,Laborum Lite,Rumah Tangga,25000.0,5,COD,2026-08-23,Palangkaraya,5.0
TR00458,Wisnu Manullang,Nulla,Buku,50000.0,5,E-Wallet,2026-07-30,Dumai,
TR00071,Fathonah Astuti,Repellendus Lite,Kesehatan,1200000.0,3,COD,2026-08-12,Pangkalpinang,2.0
TR00003,Johan Suartini,Alias,Rumah Tangga,750000.0,4,E-Wallet,2026-08-08,Jayapura,2.0
TR00288,T. Slamet Hutapea,Explicabo,Elektronik,250000.0,1,E-Wallet,2026-07-06,Blitar,5.0
TR00342,KH. Mulya Pratama,Expedita Pro,Rumah Tangga,250000.0,5,Transfer Bank,2026-08-19,Pontianak,5.0
TR00138,Vanya Habibi,Enim Basic,Rumah Tangga,12000000.0,4,Transfer Bank,2026-07-13,Kotamobagu,
TR00250,Cindy Wahyudin,Et Pro,Olahraga,1200000.0,4,Kartu Kredit,2026-06-21,Tasikmalaya,3.0
TR00195,Simon Yolanda,Totam Lite,Kesehatan,25000.0,3,Transfer Bank,2026-09-05,Tidak Diketahui,1.0
TR00173,Paulin Maheswara,Odit Lite,Elektronik,250000.0,3,Kartu Kredit,2026-07-22,Sawahlunto,2.0
TR00083,Cahyo Maryadi,Eveniet Basic,Rumah Tangga,1200000.0,3,COD,2026-07-23,Tarakan,4.0
TR00454,Siska Widiastuti,Voluptatem,Elektronik,50000.0,5,E-Wallet,2026-07-21,Prabumulih,
TR00319,Febi Prayoga,Hic,Fashion,2500000.0,2,Transfer Bank,2026-08-08,Langsa,1.0
TR00034,Titi Sirait,Corrupti,Elektronik,120000.0,1,Transfer Bank,2026-07-11,Prabumulih,2.0
TR00427,"Ian Widodo, S.Ked",Sint Basic,Buku,120000.0,4,Transfer Bank,2026-09-06,Semarang,
TR00228,Drs. Kiandra Hariyah,Repellendus Max,Buku,150000.0,4,E-Wallet,2026-08-07,Palopo,3.0
TR00001,"Balidin Dongoran, S.T.",Exercitationem Pro,Elektronik,120000.0,2,Transfer Bank,2026-07-09,Tangerang,1.0
TR00012,"Puti Prasetya, S.Psi",Aspernatur Pro,Elektronik,25000.0,2,Kartu Kredit,2026-07-09,Lubuklinggau,5.0
TR00238,Ira Najmudin,Error,Kesehatan,500000.0,4,Kartu Kredit,2026-07-19,Depok,2.0
TR00023,Nurul Budiyanto,Culpa Basic,Rumah Tangga,15000.0,1,COD,2026-09-10,Kendari,2.0
TR00297,Dewi Santoso,Odio Max,Fashion,500000.0,4,COD,2026-07-11,Banjarbaru,1.0
TR00102,Ibrahim Nugroho,Quasi,Rumah Tangga,250000.0,4,Transfer Bank,2026-09-13,Singkawang,3.0
TR00080,Endah Kusmawati,Odio Lite,Olahraga,120000.0,1,Kartu Kredit,2026-07-12,Subulussalam,2.0
TR00430,Faizah Haryanti,Cum,Buku,120000.0,1,Kartu Kredit,2026-07-12,Pontianak,3.0
TR00432,Zulfa Haryanti,Sit Max,Olahraga,750000.0,2,E-Wallet,2026-07-04,Singkawang,2.0
TR00019,"Calista Zulaika, M.Pd",Fugiat Lite,Buku,1200000.0,4,Kartu Kredit,2026-08-27,Binjai,3.0
TR00177,Arsipatra Firgantoro,Incidunt Basic,Olahraga,500000.0,2,Kartu Kredit,2026-09-16,Bengkulu,3.0
TR00232,Intan Wibisono,Nemo Pro,Elektronik,120000.0,4,Kartu Kredit,2026-08-27,Sorong,3.0
TR00133,"Dr. Cornelia Halimah, S.I.Kom",Nemo Lite,Buku,1200000.0,2,COD,2026-07-18,Cilegon,2.0
TR00040,Gasti Hakim,Repellendus Lite,Fashion,500000.0,1,COD,2026-08-24,Tidore Kepulauan,
TR00465,"R. Baktiono Sihotang, S.I.Kom",In Pro,Rumah Tangga,1200000.0,4,E-Wallet,2026-07-01,Sukabumi,2.0
TR00047,Sutan Jono Saptono,Delectus,Kesehatan,500000.0,3,COD,2026-09-10,Kota Administrasi Jakarta Barat,
TR00358,T. Daruna Permata,Ipsum,Kesehatan,120000.0,3,Transfer Bank,2026-08-09,Kendari,4.0
TR00278,"T. Niyaga Hassanah, S.Kom",Similique Lite,Kesehatan,120000.0,3,Kartu Kredit,2026-07-14,Dumai,
TR00363,"R.A. Ifa Megantara, M.M.",Aspernatur Lite,Buku,250000.0,1,Kartu Kredit,2026-08-08,Sabang,5.0
TR00094,"Bagiya Yulianti, S.Gz",Aliquam Pro,Fashion,25000.0,4,E-Wallet,2026-09-12,Banda Aceh,5.0
TR00447,Rina Nasyiah,Dolores Max,Elektronik,50000.0,1,Kartu Kredit,2026-07-18,Kupang,3.0
TR00204,"Radit Santoso, S.Ked",Ducimus Max,Olahraga,250000.0,5,COD,2026-07-13,Makassar,3.0
TR00149,"Prima Yulianti, S.E.I",Possimus Basic,Elektronik,150000.0,3,Transfer Bank,2026-09-13,Pekalongan,4.0
TR00221,Sutan Utama Tampubolon,Laudantium Basic,Kesehatan,750000.0,1,E-Wallet,2026-08-23,Kendari,3.0
TR00070,"Ellis Susanti, M.Farm",Incidunt Max,Rumah Tangga,75000.0,4,Transfer Bank,2026-07-25,Langsa,4.0
TR00254,"T. Dasa Sihombing, S.IP",Architecto Basic,Elektronik,15000.0,2,Kartu Kredit,2026-07-10,Batam,
TR00399,Puti Puspita,Quam Pro,Buku,25000.0,4,Transfer Bank,2026-07-25,Bekasi,2.0
TR00168,dr. Uchita Mustofa,Consectetur Pro,Buku,750000.0,2,Transfer Bank,2026-09-08,Tidore Kepulauan,4.0
TR00276,Karta Utama,Nam,Olahraga,750000.0,4,Kartu Kredit,2026-07-17,Kota Administrasi Jakarta Barat,5.0
TR00321,Kemal Wastuti,Quisquam,Buku,5000000.0,2,Kartu Kredit,2026-07-23,Malang,
TR00330,"drg. Winda Lailasari, S.E.",Illum Lite,Fashion,25000.0,2,Kartu Kredit,2026-09-05,Langsa,5.0
TR00174,Yuni Uyainah,Minima Max,Kesehatan,150000.0,3,COD,2026-06-28,Parepare,4.0
TR00273,Samsul Sudiati,Veritatis Basic,Elektronik,1200000.0,5,Kartu Kredit,2026-08-28,Blitar,
TR00496,"Cut Juli Adriansyah, S.Sos",Inventore Lite,Olahraga,1200000.0,2,COD,2026-06-28,Padangpanjang,2.0
TR00183,"Dr. Cornelia Wijayanti, S.Kom",Temporibus Lite,Olahraga,120000.0,4,E-Wallet,2026-08-15,Banjarbaru,
TR00269,Janet Jailani,Beatae Lite,Rumah Tangga,250000.0,2,COD,2026-07-18,Lhokseumawe,5.0
TR00353,"Dt. Emin Hariyah, M.Pd",Nisi Pro,Buku,15000.0,1,Kartu Kredit,2026-08-05,Kota Administrasi Jakarta Barat,4.0
TR00118,Belinda Permata,Suscipit,Rumah Tangga,50000.0,4,Kartu Kredit,2026-08-19,Bukittinggi,
TR00394,"Empluk Hartati, M.Kom.",Eum,Fashion,15000.0,1,COD,2026-07-21,Palangkaraya,5.0
TR00333,Tina Nashiruddin,Accusantium Max,Kesehatan,50000.0,1,E-Wallet,2026-08-24,Salatiga,
TR00456,Pia Permata,Delectus,Kesehatan,12000000.0,2,E-Wallet,2026-08-08,Makassar,
TR00445,Rosman Rahmawati,Voluptas Max,Olahraga,25000.0,3,Kartu Kredit,2026-07-20,Cimahi,2.0
TR00357,"Aurora Wacana, M.M.",Eveniet Basic,Fashion,150000.0,1,E-Wallet,2026-08-06,Bogor,
TR00087,H. Oman Palastri,Sed Max,Elektronik,25000.0,2,COD,2026-09-07,Jayapura,2.0
TR00439,"Dr. Nurul Marbun, S.Pt",Recusandae Pro,Olahraga,250000.0,5,Transfer Bank,2026-06-21,Kupang,3.0
TR00076,"Kiandra Lailasari, S.Sos",Exercitationem,Olahraga,120000.0,1,E-Wallet,2026-07-02,Tomohon,
TR00452,Mahesa Iswahyudi,Necessitatibus,Fashion,250000.0,3,Transfer Bank,2026-08-04,Tanjungbalai,
TR00016,Cahyo Melani,Possimus,Elektronik,250000.0,4,COD,2026-06-27,Binjai,3.0
TR00211,"Mustika Rahayu, M.Kom.",Qui Max,Kesehatan,25000.0,5,COD,2026-08-18,Jayapura,3.0
TR00181,"Kartika Pratama, M.M.",Numquam Pro,Olahraga,500000.0,5,COD,2026-09-12,Bengkulu,1.0
TR00398,Vanya Saputra,Corporis Pro,Rumah Tangga,120000.0,5,Transfer Bank,2026-06-30,Palangkaraya,1.0
TR00020,Maya Manullang,Odit Pro,Olahraga,75000.0,5,Transfer Bank,2026-06-19,Pekalongan,1.0
TR00341,Jaeman Sudiati,Minima Basic,Kesehatan,500000.0,1,E-Wallet,2026-07-26,Tomohon,3.0
TR00057,Mahmud Prayoga,Vel Lite,Elektronik,5000000.0,4,Kartu Kredit,2026-06-28,Solok,4.0
TR00279,Cahya Hidayanto,Odio Basic,Kesehatan,25000.0,3,Transfer Bank,2026-07-04,Bekasi,1.0
TR00468,"Ilyas Pratama, S.Pt",Consequuntur Lite,Fashion,500000.0,5,E-Wallet,2026-07-01,Semarang,2.0
TR00155,"Niyaga Januar, M.M.",Doloremque Lite,Olahraga,25000.0,3,COD,2026-08-20,Banjar,
TR00026,Drs. Indra Prabowo,Quis Basic,Elektronik,50000.0,4,COD,2026-08-25,Tasikmalaya,3.0
TR00266,Humaira Maheswara,Maxime Lite,Rumah Tangga,1200000.0,4,Transfer Bank,2026-07-28,Tidore Kepulauan,
TR00043,Wardaya Purnawati,Expedita Max,Kesehatan,5000000.0,5,Transfer Bank,2026-08-10,Solok,5.0
TR00313,Ella Novitasari,Suscipit,Kesehatan,500000.0,4,E-Wallet,2026-08-22,Bontang,5.0
TR00413,Dina Usada,Incidunt Basic,Kesehatan,750000.0,3,E-Wallet,2026-07-10,Tasikmalaya,
TR00457,"Prabowo Hardiansyah, S.Gz",Consequuntur Max,Fashion,1200000.0,5,COD,2026-08-14,Banda Aceh,
TR00285,Ihsan Hastuti,Vero Basic,Olahraga,50000.0,3,E-Wallet,2026-08-04,Purwokerto,1.0
TR00127,Asmuni Marbun,Inventore Basic,Elektronik,25000.0,3,E-Wallet,2026-08-11,Palembang,5.0
TR00335,Tgk. Bakianto Wacana,Velit Pro,Olahraga,120000.0,1,E-Wallet,2026-06-27,Pariaman,2.0
TR00032,"drg. Respati Wasita, S.Kom",Consequatur Pro,Rumah Tangga,25000.0,1,COD,2026-06-27,Manado,1.0
TR00114,Ghaliyati Tarihoran,Dolorum Basic,Olahraga,250000.0,1,COD,2026-07-16,Kota Administrasi Jakarta Utara,
TR00256,Erik Aryani,A Max,Olahraga,150000.0,2,E-Wallet,2026-08-13,Samarinda,
TR00219,drg. Paramita Hutapea,Nam Basic,Buku,120000.0,2,COD,2026-09-05,Jayapura,
TR00417,Maryadi Widiastuti,Libero,Olahraga,1200000.0,3,Transfer Bank,2026-07-03,Salatiga,3.0
TR00058,"Eva Prakasa, S.E.",Dolorum Basic,Olahraga,15000.0,5,Transfer Bank,2026-09-06,Cirebon,4.0
TR00397,Jamalia Tarihoran,Corrupti Basic,Elektronik,75000.0,2,Transfer Bank,2026-06-27,Palembang,3.0
TR00025,"Dr. Pranata Mahendra, S.E.I",Unde Basic,Olahraga,25000.0,1,E-Wallet,2026-07-31,Kota Administrasi Jakarta Selatan,2.0
TR00018,Rina Hastuti,Quia Lite,Fashion,1200000.0,5,Kartu Kredit,2026-07-11,Tangerang Selatan,
TR00193,Atmaja Mahendra,Harum Max,Rumah Tangga,750000.0,4,Transfer Bank,2026-08-14,Metro,4.0
TR00067,Betania Widiastuti,Iure Max,Olahraga,500000.0,3,COD,2026-08-14,Tebingtinggi,4.0
TR00287,R.M. Gadang Marbun,Dolorem,Buku,50000.0,5,COD,2026-07-18,Malang,4.0
TR00423,Cinta Farida,Voluptatem Max,Olahraga,500000.0,4,Kartu Kredit,2026-07-29,Langsa,4.0
TR00095,R. Halima Mahendra,Pariatur Max,Rumah Tangga,1200000.0,4,E-Wallet,2026-08-18,Pangkalpinang,5.0
TR00312,Hani Yolanda,Repellendus Pro,Elektronik,250000.0,1,Transfer Bank,2026-08-09,Sawahlunto,4.0
TR00369,Vicky Suryono,Modi Pro,Olahraga,250000.0,3,COD,2026-07-30,Lhokseumawe,5.0
TR00024,Dimas Purnawati,Beatae Lite,Olahraga,1200000.0,2,COD,2026-06-26,Batam,1.0
TR00272,"Dt. Bahuraksa Winarsih, S.Sos",Maiores Basic,Buku,12000000.0,2,COD,2026-08-04,Bandar Lampung,
TR00300,Najwa Damanik,Consectetur Basic,Kesehatan,2500000.0,3,E-Wallet,2026-09-12,Kendari,3.0
TR00374,Ir. Warsa Sirait,Facere Max,Elektronik,500000.0,1,Kartu Kredit,2026-08-26,Tebingtinggi,5.0
TR00006,Harjasa Kuswoyo,Magnam Max,Olahraga,75000.0,1,E-Wallet,2026-09-03,Banjar,
TR00117,Aslijan Ramadan,Perferendis Pro,Kesehatan,1200000.0,1,E-Wallet,2026-06-29,Padang,
TR00046,"Eja Haryanti, S.Psi",Aut Lite,Kesehatan,5000000.0,1,COD,2026-06-19,Batu,3.0
TR00186,"R. Diah Namaga, S.T.",Doloribus,Kesehatan,1200000.0,5,Transfer Bank,2026-06-28,Blitar,
TR00017,Lutfan Manullang,Vero Lite,Elektronik,75000.0,5,Kartu Kredit,2026-07-26,Meulaboh,5.0
TR00478,"Kawaca Nasyiah, M.Ak",Dolor Basic,Buku,50000.0,1,E-Wallet,2026-07-13,Bau-Bau,
TR00368,"drg. Vinsen Prasasta, M.Ak",Voluptatibus Pro,Buku,500000.0,1,E-Wallet,2026-07-07,Purwokerto,1.0
TR00004,Rini Setiawan,Ab Lite,Kesehatan,25000.0,1,COD,2026-08-26,Tanjungpinang,
TR00235,Hj. Dinda Tampubolon,Ipsa Lite,Olahraga,75000.0,1,COD,2026-09-14,Blitar,5.0
TR00385,"Raden Hutapea, S.Gz",Consectetur Basic,Rumah Tangga,15000.0,5,E-Wallet,2026-07-25,Purwokerto,4.0
TR00061,Yuni Pradana,Et Pro,Elektronik,500000.0,2,Transfer Bank,2026-06-21,Padang,4.0
TR00111,"Mutia Saputra, S.Pd",Explicabo Lite,Buku,250000.0,1,Transfer Bank,2026-07-09,Lubuklinggau,1.0
TR00410,Indah Wijaya,Maiores,Elektronik,50000.0,4,Kartu Kredit,2026-06-29,Semarang,
TR00421,Jayadi Jailani,Impedit,Olahraga,50000.0,4,Transfer Bank,2026-07-26,Binjai,5.0
TR00030,Satya Sitompul,Aut,Fashion,15000.0,5,COD,2026-08-04,Surakarta,
TR00275,Mustika Hartati,Maxime,Elektronik,500000.0,3,Transfer Bank,2026-07-22,Samarinda,
TR00303,Teguh Saptono,Maiores Lite,Elektronik,500000.0,3,Transfer Bank,2026-08-26,Banjar,4.0
TR00027,Lalita Winarsih,Totam Basic,Buku,1200000.0,2,E-Wallet,2026-07-22,Bitung,5.0
TR00008,dr. Ratih Nababan,Voluptatibus Max,Buku,25000.0,5,E-Wallet,2026-06-25,Yogyakarta,
TR00182,"Gading Palastri, S.I.Kom",Assumenda Pro,Buku,50000.0,4,Transfer Bank,2026-07-24,Bitung,4.0
TR00109,Emil Prasetya,Necessitatibus Max,Elektronik,500000.0,3,Transfer Bank,2026-08-20,Surabaya,
TR00038,Harjasa Adriansyah,Molestias Lite,Olahraga,15000.0,3,E-Wallet,2026-07-12,Kotamobagu,
TR00158,Bahuwirya Suryatmi,Modi,Buku,15000.0,3,Kartu Kredit,2026-08-13,Payakumbuh,
TR00482,Nugraha Mandala,Voluptates,Kesehatan,75000.0,1,E-Wallet,2026-06-20,Malang,
TR00119,"Drs. Warta Sihombing, S.Pt",Expedita Max,Fashion,1200000.0,4,Transfer Bank,2026-06-29,Sibolga,
TR00115,Asmadi Puspasari,Illum Max,Olahraga,500000.0,3,E-Wallet,2026-08-20,Subulussalam,5.0
TR00267,Kiandra Sirait,Ea Basic,Olahraga,75000.0,4,COD,2026-08-02,Medan,
TR00176,Makara Hariyah,Voluptates Basic,Olahraga,500000.0,5,Transfer Bank,2026-07-16,Binjai,3.0
TR00422,"R. Kamaria Saragih, S.Psi",Odit Basic,Olahraga,50000.0,5,E-Wallet,2026-08-28,Malang,5.0
TR00350,Edison Wasita,Ducimus Lite,Fashion,15000.0,5,Transfer Bank,2026-08-27,Medan,
TR00145,Tari Salahudin,Repudiandae Lite,Elektronik,25000.0,5,COD,2026-08-10,Bukittinggi,
TR00381,H. Endra Nasyiah,Illo Basic,Kesehatan,750000.0,4,Kartu Kredit,2026-06-20,Cirebon,
TR00392,"H. Cahyono Hutapea, M.TI.",Laborum Max,Fashion,50000.0,5,Transfer Bank,2026-06-23,Kediri,4.0
TR00212,Rahayu Hakim,Ab Pro,Kesehatan,25000.0,3,COD,2026-07-07,Yogyakarta,
TR00322,"KH. Cakrabuana Siregar, S.Gz",Illo Pro,Olahraga,250000.0,1,E-Wallet,2026-09-12,Malang,4.0
TR00495,Wardi Wasita,Alias Basic,Kesehatan,15000.0,1,Transfer Bank,2026-07-09,Subulussalam,3.0
TR00142,"Humaira Agustina, M.Kom.",Optio Basic,Elektronik,250000.0,5,Kartu Kredit,2026-07-10,Meulaboh,1.0
TR00377,Salman Hutagalung,Velit,Rumah Tangga,500000.0,4,E-Wallet,2026-06-23,Padang Sidempuan,
TR00068,Ophelia Saragih,Vel Pro,Rumah Tangga,250000.0,4,E-Wallet,2026-07-25,Tanjungpinang,3.0
TR00409,Unjani Usada,Porro Lite,Elektronik,500000.0,5,Kartu Kredit,2026-09-14,Madiun,3.0
TR00169,Ellis Pangestu,Delectus Lite,Buku,250000.0,5,Transfer Bank,2026-08-28,Pontianak,
TR00434,Hardi Megantara,Quaerat Pro,Kesehatan,1200000.0,2,COD,2026-07-23,Samarinda,
TR00229,"Drs. Martana Nainggolan, S.Psi",Sed Pro,Olahraga,15000.0,1,COD,2026-07-31,Banjarmasin,
TR00194,Drs. Ida Hasanah,Quae Basic,Rumah Tangga,75000.0,3,COD,2026-08-12,Tanjungpinang,4.0
TR00082,Nasab Suwarno,Ex Pro,Fashion,75000.0,3,E-Wallet,2026-07-13,Probolinggo,1.0
TR00110,dr. Nabila Puspasari,Quia Max,Fashion,250000.0,2,COD,2026-07-19,Manado,
TR00429,"Yessi Haryanto, M.Farm",Corporis Max,Fashion,15000.0,3,E-Wallet,2026-08-29,Mataram,2.0
TR00146,Paulin Laksmiwati,Laborum Lite,Fashion,250000.0,2,E-Wallet,2026-07-18,Palu,
TR00093,"Puti Nadine Budiyanto, M.Pd",Asperiores Basic,Elektronik,15000.0,5,E-Wallet,2026-09-16,Jayapura,4.0
TR00153,"Nasim Laksita, M.Pd",Amet Pro,Buku,2500000.0,1,Kartu Kredit,2026-08-13,Sorong,
TR00480,"Maya Permadi, S.Gz",Exercitationem,Rumah Tangga,250000.0,1,COD,2026-06-26,Binjai,4.0
TR00249,Aisyah Agustina,Asperiores Pro,Elektronik,500000.0,2,E-Wallet,2026-07-24,Kendari,3.0
TR00084,Atma Agustina,Nemo Pro,Buku,75000.0,3,Transfer Bank,2026-07-18,Padangpanjang,3.0
TR00104,"R.A. Yance Irawan, S.T.",Odio Pro,Kesehatan,150000.0,3,Kartu Kredit,2026-07-10,Salatiga,5.0
TR00166,Lukman Ramadan,Veritatis Pro,Elektronik,15000.0,3,Kartu Kredit,2026-08-26,Sorong,3.0
TR00164,"Hj. Lala Saefullah, S.Ked",Recusandae Pro,Rumah Tangga,250000.0,2,COD,2026-09-04,Sibolga,1.0
TR00200,Hendra Thamrin,Vel Pro,Rumah Tangga,15000.0,5,COD,2026-09-11,Tebingtinggi,
TR00246,Maras Laksmiwati,Minima Pro,Kesehatan,500000.0,3,COD,2026-08-07,Tasikmalaya,2.0
TR00075,Rahmi Hidayanto,Odit Lite,Kesehatan,25000.0,5,E-Wallet,2026-07-26,Tasikmalaya,5.0
TR00317,Salimah Kuswandari,Qui Max,Fashion,2500000.0,2,Transfer Bank,2026-07-22,Palu,
TR00230,Ciaobella Siregar,Blanditiis Basic,Kesehatan,500000.0,4,Transfer Bank,2026-08-03,Banjar,5.0
TR00485,Eluh Permata,Sunt Basic,Olahraga,15000.0,3,Transfer Bank,2026-06-25,Pekanbaru,3.0
TR00120,Ir. Genta Nurdiyanti,Modi Max,Elektronik,500000.0,3,Kartu Kredit,2026-07-29,Langsa,
TR00387,"drg. Septi Sitompul, M.Farm",Consequatur,Fashion,250000.0,1,E-Wallet,2026-09-07,Kediri,
TR00443,Irwan Jailani,Ullam Max,Rumah Tangga,500000.0,4,COD,2026-08-25,Bandung,5.0
TR00262,Tami Kuswandari,Suscipit Basic,Kesehatan,250000.0,1,COD,2026-07-05,Batam,1.0
TR00365,"dr. Cornelia Nasyiah, S.Kom",Asperiores Pro,Olahraga,50000.0,1,E-Wallet,2026-07-13,Batu,2.0
TR00412,Ismail Siregar,Voluptate Basic,Fashion,15000.0,1,Kartu Kredit,2026-06-25,Tangerang,1.0
TR00336,Hilda Ardianto,Facilis Pro,Kesehatan,25000.0,1,E-Wallet,2026-07-23,Tomohon,
TR00263,"Vicky Haryanti, S.Gz",Impedit Lite,Elektronik,50000.0,4,Kartu Kredit,2026-07-07,Banjar,5.0
TR00481,Rahmi Sudiati,Aspernatur Basic,Olahraga,120000.0,5,Kartu Kredit,2026-07-16,Bitung,
TR00419,Baktiadi Rajata,Est Basic,Elektronik,120000.0,5,Transfer Bank,2026-08-03,Palopo,4.0
TR00281,"R. Tania Uyainah, S.E.",Magni Lite,Rumah Tangga,50000.0,2,Transfer Bank,2026-08-03,Dumai,4.0
TR00037,"Sutan Caturangga Wasita, M.Kom.",Perspiciatis Lite,Buku,1200000.0,5,Transfer Bank,2026-07-08,Banjarmasin,
